asin,title,category_id,category_name,split
B0CB2YNTPD,Halloween Headbands Pumpkin Bow Design Hair Bands Happy Halloween Party Hair Accessories for Kids Women Cute Pumpkin Mesh Headwear Hair Hoop for Halloween Hair Decorations 1Pcs,47,Hair Care Products,test
B0C5C5BCQ8,"3 Pieces Hair Comb Set for Women-Wide Tooth Comb,Rat Tail Comb for Parting Teasing-Detangling Hair Combs for Curly/Straight/Short/Wet Hair,Anti-Static Heat Resistant Hair Styling Comb Set(Pink)",47,Hair Care Products,test
B07N9HZ11H,"Head and Shoulders Shampoo and Conditioner 2 in 1, Anti Dandruff Treatment, Dry Scalp Care with Almond Oil, 32.1 fl oz, Twin Pack (Packaging May Vary)",47,Hair Care Products,reference
B0C9RLCXRW,"Fearless Tape - Hair Extension Tape, Monthly – 120 Tabs/Envelope for Tape-In Hair Extensions",47,Hair Care Products,reference
B0B44G1V73,the kure bond repair shampoo,47,Hair Care Products,test
B0C4WXSVQ7,"Hair Dryer Brush and Styler Volumizer, 4 in 1 Styling Tools Blow Dryer, Hair Straightener Brush for All Hair Types",47,Hair Care Products,reference
B0041QZOF0,"BaBylissPRO Nano Titanium Travel Dryer, Blue",47,Hair Care Products,test
B07D2LQNF1,"PURA D'OR Professional Grade Biotin Shampoo For Thinning Hair, Clinically Proven Anti-Thinning Hair Care, 2X Concentrated DHT Blocker Hair Thickening Products For Women & Men, 16oz",47,Hair Care Products,reference
B08DKXFFDK,"Large Hair Claw Clips for Thick Hair 4 PCS, Strong Hold Perfect for Women, Barrettes for Long Hair, Fashion Accessories for Girls, Hair Clamps Clip 4.4 Inch Big Hair Claw for Heavy Hair",47,Hair Care Products,reference
B074M6577N,"SWEETV Jeweled Baroque Queen Crown - Rhinestone Wedding Crowns and Tiaras for Women, Costume Party Hair Accessories with Gemstones,Victoria",47,Hair Care Products,test
B08XKSDW9M,Dove Refillable Deodorant Starter Kit 0% Aluminum Cucumber & Green Tea Aluminum Free Deodorant 1.13 oz,52,Personal Care Products,test
B0BSLQ5MFJ,"Bubble Skincare Fresh Start Gel Cleanser - PHA + Caffeine for Skin Calming, Texture + Acne Support - Sensitive Skin Friendly Deep Pore Facial Cleanser (50ml)",52,Personal Care Products,reference
B01BBZYT90,"Maja Bath and Shower Gel, Body Wash Enriched With Glycerin that Protects and Softens Your Skin Keeping It Clean and Fresh, 13.5 Oz, Bottle",52,Personal Care Products,reference
B08TBC5QG3,"Dial Kids 2-in-1 Body+Hair Wash, Melon, 32 fl oz",52,Personal Care Products,reference
B00GYR9EQE,"Soothing Touch W67348G Basics Lotion, 1 Gallon",52,Personal Care Products,reference
B07TM2B492,"KECUCO 3 Pcs Bath Sponge for Women, Men, Kids, Sponge Loofah Body Scrubber Shower Sponge for Body Wash Bathroom, 3 Colors & Large Size Bathing Sponge Bathing Accessories(Large Size)",52,Personal Care Products,reference
B08GCX5V9G,"Supergoop! Unseen Sunscreen - SPF 40-1.7 fl oz - Invisible, Broad Spectrum Face Sunscreen - Weightless, Scentless, and Oil Free - For All Skin Types and Skin Tones",52,Personal Care Products,test
B06ZZHGYGV,"Bath Accessories Deodorant Be-gone Remover Sponge, 2 Count",52,Personal Care Products,test
B0B85BJ488,"120 PCS Under Eye Patches - 24K Skin Care Gold- Eye Patch for Puffy Eyes Anti-Aging Collagen Hyaluronic Acid Eye Masks for Dark Circles and Puffiness, Anti-Wrinkle and Hydrating skin care",52,Personal Care Products,test
B07VR6BBY8,Supergoop! Superscreen - 1.7 fl oz - SPF 40 PA+++ Hydrating Daily Moisturizer Sunscreen - Protection from UV Rays + Helps Filter Pollution & Blue Light,52,Personal Care Products,test
